Symbol,Sector Score,Cap Score
XCHANGING,4.3,4.3
ZENSARTECH,5.9,6.5
ZFCVINDIA,5.1,5.2
ZYDUSLIFE,8.5,10.0
KIRLFER,3.9,4.8
GRAUWEIL,7.6,8.2
KENNAMET,4.8,4.8
KOVAI,8.6,8.7
WIMPLAST,4.3,5.8
SHAWGELTIN,5.3,6.6
FAZE3Q,8.1,8.1
IZMO,8.1,8.8
RNBDENIMS,7.7,10.0
ZEAL,8.2,8.9
IGL,7.9,9.5
DISAQ,8.5,8.5
MAFATIND,6.3,8.2
FORBESCO,4.7,6.4
KAYCEEI,8.4,9.2
PERMAGN,4.2,4.6
INTEGRAEN,9.1,10.0
JOSTS,6.2,6.8
WPIL,7.3,7.3
APIS,6.8,7.8
NITTAGELA,7.8,9.6
BAJAJST,7.8,8.5
PRADPME,7.8,8.2
PATELSAI,6.7,7.3
FLUIDOM,6.7,7.4
TANAA,7.7,8.4
MORGANITE,7.3,7.9
SIKA,10.0,10.0
ALUFLUOR,5.4,6.6
TITANBIO,8.5,9.2
NICCOPAR,7.0,7.9
VALIANT,7.1,7.2
NILE,7.1,8.7
ARYAMAN,8.4,9.2
AKCAPIT,5.1,5.6
ECORECO,10.0,10.0
OPTIFIN,7.4,8.1
MENNPIS,5.0,5.2
NWIL,6.7,7.4
3BBLACKBIO,10.0,10.0
BABA,4.8,5.0
KAMAHOLD,6.9,7.4
BLIL,5.3,5.8
BENGALASM,4.5,4.9
DHABRIYA,8.8,9.6
EMERALD,8.6,9.4
MKEXIM,7.8,8.7
MADHAVIPL,7.8,10.0
TAALTECH,9.3,10.0
KPL,9.1,9.1
RMC,5.7,6.2
MEERA,6.9,7.6
SGRL,5.1,9.4
INNOVATORS,4.2,4.6
PREVEST,5.3,9.8
SPITZE,5.7,7.7
SEALMATIC,6.5,7.2
AMIC,5.8,5.8
PESB,4.3,4.8
KPGEL,5.6,5.6
SATTRIX,4.1,4.1
VVIPIL,4.8,4.8
NISUS,7.0,7.7
FABCLEAN,6.7,7.3
BRGIL,7.1,9.0
CNINFOTECH,8.9,8.9
BEEZAASAN,4.4,5.4
