Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
JAINMARMO,BSE,JAINMARMO.BO,False,Daily value Rs 0.0L < Rs 10L,20.05,0.01,,2673.0
GRAMEVA,BSE,GRAMEVA.BO,False,Daily value Rs 1.6L < Rs 10L,58.52,1.62,,223.0
PALCO,BSE,PALCO.BO,False,Daily value Rs 6.0L < Rs 10L,98.15,6.0,,1261.0
BODHTREE,BSE,BODHTREE.BO,False,Daily value Rs 2.1L < Rs 10L,15.64,2.12,,217.0
VBIND,BSE,VBIND.BO,False,Daily value Rs 0.4L < Rs 10L,5.4,0.42,,1811.0
SARVOTTAM,BSE,SARVOTTAM.BO,False,Daily value Rs 0.4L < Rs 10L,20.0,0.39,,918.0
MEP,BSE,MEP.BO,False,Price Rs 0.9 < Rs 5,0.91,0.23,,2603.0
WARDWIZFBL,BSE,WARDWIZFBL.BO,True,,8.65,27.84,222.43,2553.0
PANTH,BSE,PANTH.BO,False,Daily value Rs 5.9L < Rs 10L,7.15,5.9,,2535.0
ICSL,BSE,ICSL.BO,False,Price Rs 4.7 < Rs 5,4.7,0.21,,301.0
VLL,BSE,VLL.BO,False,Daily value Rs 0.0L < Rs 10L,43.58,0.05,,447.0
HELPAGE,BSE,HELPAGE.BO,False,Daily value Rs 0.4L < Rs 10L,25.06,0.42,,292.0
BLUEGOD,BSE,BLUEGOD.BO,False,Price Rs 3.1 < Rs 5,3.12,61.42,,1408.0
HAWAENG,BSE,HAWAENG.BO,False,Daily value Rs 1.1L < Rs 10L,71.05,1.1,,301.0
ADHBHUTIN,BSE,ADHBHUTIN.BO,False,Daily value Rs 0.1L < Rs 10L,13.71,0.13,,298.0
DFL,BSE,DFL.BO,False,Daily value Rs 0.2L < Rs 10L,46.22,0.23,,286.0
POEL,BSE,POEL.BO,True,,169.0,64.18,519.95,305.0
AEL,BSE,AEL.BO,False,Daily value Rs 9.4L < Rs 10L,107.0,9.42,,305.0
CAPFIN,BSE,CAPFIN.BO,False,Daily value Rs 1.1L < Rs 10L,107.8,1.07,,82.0
NOBPOL,BSE,NOBPOL.BO,False,Price Rs 1.6 < Rs 5,1.57,0.09,,21.0
GVBL,BSE,GVBL.BO,False,Daily value Rs 0.9L < Rs 10L,28.56,0.92,,297.0
GARMNTMNTR,BSE,GARMNTMNTR.BO,False,Price Rs 1.5 < Rs 5,1.51,27.05,,305.0
SRESTHA,BSE,SRESTHA.BO,False,Price Rs 0.2 < Rs 5,0.24,10.42,,305.0
SAUMYA,BSE,SAUMYA.BO,False,Daily value Rs 0.1L < Rs 10L,145.65,0.1,,235.0
MUL,BSE,MUL.BO,False,Daily value Rs 4.4L < Rs 10L,7.89,4.42,,305.0
MISHKA,BSE,MISHKA.BO,False,Daily value Rs 1.5L < Rs 10L,39.8,1.55,,305.0
GROWINGTON,BSE,GROWINGTON.BO,False,Price Rs 0.9 < Rs 5,0.94,64.18,,305.0
HCKKVENTURE,BSE,HCKKVENTURE.BO,False,Daily value Rs 0.6L < Rs 10L,30.28,0.56,,194.0
LOYAL,BSE,LOYAL.BO,True,,171.4,10.17,184.94,305.0
GGPL,BSE,GGPL.BO,False,Price Rs 1.5 < Rs 5,1.51,0.91,,305.0
CHEMIESYNT,BSE,CHEMIESYNT.BO,False,Daily value Rs 0.0L < Rs 10L,43.55,0.0,,1003.0
SURYAINDIA,BSE,SURYAINDIA.BO,False,No data,,,,
STARDELTA,BSE,STARDELTA.BO,True,,449.6,16.76,134.89,305.0
AMRAFIN,BSE,AMRAFIN.BO,False,No data,,,,
SAMSRITA,BSE,SAMSRITA.BO,False,Daily value Rs 0.3L < Rs 10L,15.65,0.31,,1666.0
PECOS,BSE,PECOS.BO,False,Daily value Rs 0.2L < Rs 10L,324.0,0.24,,2617.0
MSL,BSE,MSL.BO,False,Daily value Rs 1.2L < Rs 10L,127.85,1.22,,303.0
ALSTONE,BSE,ALSTONE.BO,False,Price Rs 0.1 < Rs 5,0.14,87.62,,305.0
SYMBIOX,BSE,SYMBIOX.BO,False,Price Rs 1.8 < Rs 5,1.8,0.71,,305.0
ORTINGLOBE,BSE,ORTINGLOBE.BO,False,Daily value Rs 1.0L < Rs 10L,16.21,1.03,,4368.0
AVI,BSE,AVI.BO,False,MCap Rs 20.1Cr < Rs 50Cr,21.64,11.32,20.06,305.0
SUNRAKSHAK,BSE,SUNRAKSHAK.BO,True,,234.3,31.24,726.49,2001.0
THINKINK,BSE,THINKINK.BO,False,Price Rs 0.2 < Rs 5,0.16,8.17,,2023.0
SENSEXBETA,BSE,SENSEXBETA.BO,False,No data,,,,
NIFTYBETA,BSE,NIFTYBETA.BO,False,No data,,,,
UNIAUTO,BSE,UNIAUTO.BO,False,Daily value Rs 4.1L < Rs 10L,51.92,4.13,,305.0
CALLISTA,BSE,CALLISTA.BO,False,Daily value Rs 6.8L < Rs 10L,207.55,6.75,,141.0
WAAREE,BSE,WAAREE.BO,True,,168.2,25.4,181.12,1195.0
PBFL,BSE,PBFL.BO,False,No data,,,,
SALAUTO,BSE,SALAUTO.BO,False,Daily value Rs 0.9L < Rs 10L,197.7,0.91,,2057.0
POLYSPIN,BSE,POLYSPIN.BO,False,Daily value Rs 0.5L < Rs 10L,27.3,0.51,,298.0
SML,BSE,SML.BO,False,Daily value Rs 0.1L < Rs 10L,70.22,0.09,,2577.0
MAHAVEER,BSE,MAHAVEER.BO,False,Daily value Rs 0.1L < Rs 10L,7.69,0.07,,290.0
KRISHNACAP,BSE,KRISHNACAP.BO,False,Daily value Rs 0.0L < Rs 10L,23.51,0.05,,171.0
ACME,BSE,ACME.BO,False,Daily value Rs 0.3L < Rs 10L,30.33,0.32,,303.0
KCL,BSE,KCL.BO,False,No data,,,,
VISHALBL,BSE,VISHALBL.BO,False,Daily value Rs 0.9L < Rs 10L,47.41,0.86,,305.0
PJL,BSE,PJL.BO,False,Daily value Rs 0.0L < Rs 10L,262.0,0.0,,2572.0
NAKSH,BSE,NAKSH.BO,False,Price Rs 4.2 < Rs 5,4.15,0.98,,305.0
DITCO,BSE,DITCO.BO,False,Daily value Rs 1.1L < Rs 10L,14.73,1.08,,252.0
SWAGTAM,BSE,SWAGTAM.BO,False,Daily value Rs 0.5L < Rs 10L,60.04,0.55,,177.0
KUBERJI,BSE,KUBERJI.BO,False,Daily value Rs 0.2L < Rs 10L,12.67,0.23,,294.0
NEERAJ,BSE,NEERAJ.BO,False,Daily value Rs 0.0L < Rs 10L,15.0,0.01,,199.0
TEJNAKSH,BSE,TEJNAKSH.BO,False,Daily value Rs 1.0L < Rs 10L,12.65,0.97,,305.0
BRIPORT,BSE,BRIPORT.BO,False,Daily value Rs 0.0L < Rs 10L,8.88,0.0,,2540.0
RFSL,BSE,RFSL.BO,False,Daily value Rs 0.6L < Rs 10L,30.35,0.62,,727.0
IGCIL,BSE,IGCIL.BO,False,Price Rs 2.1 < Rs 5,2.12,2.46,,305.0
ARYAVAN,BSE,ARYAVAN.BO,False,MCap Rs 39.1Cr < Rs 50Cr,56.0,16.61,39.13,301.0
TFSL,BSE,TFSL.BO,False,Daily value Rs 0.3L < Rs 10L,47.55,0.34,,70.0
PANORAMA,BSE,PANORAMA.BO,True,,38.52,31.75,1003.58,1404.0
SHREEGANES,BSE,SHREEGANES.BO,False,Price Rs 0.6 < Rs 5,0.59,4.28,,305.0
GTV,BSE,GTV.BO,True,,65.28,59.32,305.89,1892.0
LICNETFN50,BSE,LICNETFN50.BO,False,Daily value Rs 1.0L < Rs 10L,257.03,1.03,,2161.0
