Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,ML_Prediction,ML_Confidence
DODLA,Consumer,76.1,0.0,True,False,0.0,89.1,-0.1,2.7,21.1,1013.34,1041.67,1228.35,No Signal,
DOLATALGO,Financial,79.0,0.0,True,False,0.0,87.6,2.5,4.1,20.3,73.07,74.28,85.77,Reversal,79.0
DOLLAR,Industrial,86.2,0.0,True,False,0.0,82.4,3.9,5.3,6.7,270.28,273.79,277.36,Reversal,86.2
DOMS,Consumer,0.0,0.0,False,False,0.0,86.9,0.7,2.9,17.6,2294.21,2345.5,2679.14,Bullish Continual,0.0
DPABHUSHAN,Consumer,86.9,0.0,True,False,0.0,86.0,3.9,6.5,21.5,1065.73,1092.25,1246.32,Bullish,86.9
DREAMFOLKS,Industrial,89.3,0.0,True,False,0.0,84.7,9.1,25.0,104.8,77.05,88.27,144.58,Reversal,89.3
DRREDDY,Healthcare,0.0,0.0,False,False,0.1,0.0,1.8,3.1,11.4,1322.16,1338.54,1447.32,Bullish Continual,0.1
DSSL,IT,76.3,0.0,True,False,0.0,85.8,-0.4,0.7,3.9,894.36,903.72,932.19,No Signal,
EASEMYTRIP,Consumer,83.2,0.0,True,False,0.0,90.7,0.2,1.7,-0.6,6.86,6.96,6.81,Reversal,83.2
ECLERX,Industrial,91.0,0.0,True,False,0.0,78.9,7.9,12.5,21.2,1584.61,1652.14,1780.5,Reversal,91.0
ECOSMOBLTY,Industrial,91.9,0.0,True,False,0.0,83.0,8.5,9.5,37.8,121.34,122.52,154.13,Reversal,91.9
EDELWEISS,Financial,79.3,0.0,True,False,0.0,0.0,2.5,4.1,20.3,107.27,109.04,125.91,Reversal,79.3
EICHERMOT,Industrial,69.4,0.0,True,False,0.0,0.0,0.7,2.4,12.9,6955.02,7075.38,7803.59,Bullish,69.4
EIDPARRY,Consumer,79.0,0.0,True,False,0.0,88.3,0.3,1.0,5.1,791.79,797.01,829.62,Reversal,79.0
EIHOTEL,Consumer,77.3,0.0,True,False,0.0,88.5,0.7,2.2,16.5,311.68,316.36,360.71,Reversal,77.3
ELECON,Industrial,81.5,0.0,True,False,0.0,87.6,0.2,1.8,5.0,390.5,396.73,409.16,Reversal,81.5
ELECTCAST,Industrial,0.0,64.0,False,True,0.0,0.1,0.5,2.1,13.4,75.18,76.37,84.83,Bullish Continual,0.0
ELGIEQUIP,Industrial,77.0,0.0,True,False,0.0,0.0,0.4,2.0,10.7,481.92,489.45,531.33,Bullish,77.0
EMAMILTD,Consumer,77.1,0.0,True,False,0.0,85.6,0.4,1.8,5.9,404.31,409.89,426.63,Reversal,77.1
EMCURE,Healthcare,0.0,0.0,False,False,73.5,0.0,2.8,5.0,10.4,1519.85,1552.75,1631.32,Bullish Continual,73.5
EMIL,Consumer,83.8,0.0,True,False,0.0,89.9,0.6,2.2,8.6,92.57,94.03,99.92,Bullish,83.8
EMKAY,Financial,84.3,0.0,True,False,0.0,88.1,2.5,4.1,20.3,228.13,231.9,267.79,Bullish,84.3
EMSLIMITED,Industrial,0.0,0.0,False,False,0.0,85.2,3.6,8.1,30.1,307.84,320.96,386.5,Bullish Continual,0.0
EMUDHRA,IT,83.3,0.0,True,False,0.0,81.6,3.9,1.6,13.7,410.83,401.73,449.61,Reversal,83.3
ENDURANCE,Industrial,76.9,0.0,True,False,0.0,85.1,0.1,1.7,11.8,2283.47,2319.02,2548.91,Bullish,76.9
