Symbol,Sector,Market_Cap_Cr,Cap_Tier,Passed,Fail_Reason
CELLO,Consumer Durables,9355.96,Mini Large,True,
CENTENKA,Textiles,914.08,Small Cap,False,ROE 4.6% < 10% (Small Cap)
CENTEXT,Capital Goods,152.29,Small Cap,False,TTM Profit negative or zero
CENTRALBK,Financial Services,30945.18,Large Cap,True,
CENTRUM,Financial Services,1163.37,Mid Cap,False,TTM Profit negative or zero
CENTUM,Capital Goods,4414.74,Mid Cap,False,TTM Profit negative or zero
CENTURYPLY,Consumer Durables,14461.24,Mini Large,True,
CERA,Consumer Durables,6128.85,Mini Large,True,
CESC,Power,20246.76,Large Cap,True,
CEWATER,Utilities,585.6,Small Cap,False,ROE 9.3% < 10% (Small Cap)
CGCL,Financial Services,16364.31,Mini Large,False,Promoter selling: -9.95% in 4Q
CGPOWER,Capital Goods,107346.38,Large Cap,True,
CHALET,Consumer Services,15854.52,Mini Large,False,ROE 4.2% < 7% (Mini Large)
CHAMBLFERT,Chemicals,17169.95,Mini Large,True,
CHEMBOND,Chemicals,169.88,Small Cap,True,
CHEMCON,Chemicals,536.86,Small Cap,False,TTM Profit negative or zero
CHEMFAB,Chemicals,513.43,Small Cap,False,TTM Profit negative or zero
CHEMPLASTS,Chemicals,4445.86,Mid Cap,False,TTM Profit negative or zero
CHENNPETRO,"Oil, Gas & Consumable Fuels",15870.51,Mini Large,False,ROE 2.4% < 7% (Mini Large)
CHEVIOT,Forest Materials,575.78,Small Cap,False,ROE 9.4% < 10% (Small Cap)
CHOICEIN,Financial Services,13712.45,Mini Large,True,
CHOLAFIN,Financial Services,122735.95,Large Cap,True,
CHOLAHLDNG,Financial Services,26466.55,Large Cap,True,
CIEINDIA,Automobile and Auto Components,17521.08,Mini Large,True,
CIGNITITEC,Information Technology,2942.84,Mid Cap,True,
CINELINE,"Media, Entertainment & Publication",301.58,Small Cap,False,TTM Profit negative or zero
CIPLA,Healthcare,101489.57,Large Cap,True,
CLEAN,Chemicals,7427.22,Mini Large,False,Promoter selling: -24.01% in 4Q
CLSEL,Fast Moving Consumer Goods,1161.46,Mid Cap,False,TTM Profit negative or zero
CMSINFO,Services,4670.2,Mid Cap,False,Promoter 0.0% < 25% (Mid Cap)
COALINDIA,"Oil, Gas & Consumable Fuels",288508.12,Large Cap,True,
COASTCORP,Fast Moving Consumer Goods,293.44,Small Cap,False,ROE 1.5% < 10% (Small Cap)
COCHINSHIP,Capital Goods,35302.09,Large Cap,True,
COFFEEDAY,Consumer Services,503.41,Small Cap,False,TTM Profit negative or zero
COFORGE,Information Technology,36590.54,Large Cap,True,
COLPAL,Fast Moving Consumer Goods,51571.2,Large Cap,True,
COMSYN,Capital Goods,612.95,Small Cap,True,
CONCOR,Services,34067.17,Large Cap,True,
CONCORDBIO,Healthcare,11427.23,Mini Large,True,
CONFIPET,"Oil, Gas & Consumable Fuels",1207.02,Mid Cap,False,ROE 6.6% < 8% (Mid Cap)
CONTROLPR,Information Technology,996.74,Small Cap,True,
CORDSCABLE,Capital Goods,191.81,Small Cap,False,TTM Profit negative or zero
COROMANDEL,Chemicals,56320.67,Large Cap,True,
COSMOFIRST,Capital Goods,1617.47,Mid Cap,True,
CPCAP,Financial Services,151.78,Small Cap,False,ROE 7.0% < 10% (Small Cap)
CRAFTSMAN,Automobile and Auto Components,16488.98,Mini Large,False,ROE 6.6% < 7% (Mini Large)
CREDITACC,Financial Services,18523.29,Mini Large,True,
CREST,Financial Services,933.51,Small Cap,False,ROE 8.0% < 10% (Small Cap)
CRISIL,Financial Services,29279.3,Large Cap,True,
CROMPTON,Consumer Durables,15892.23,Mini Large,False,Promoter nan% < 20% (Mini Large)
CROWN,Capital Goods,130.9,Small Cap,False,TTM Profit negative or zero
CSBBANK,Financial Services,6118.13,Mini Large,False,TTM Profit negative or zero
CSLFINANCE,Financial Services,555.33,Small Cap,False,TTM Profit negative or zero
CUB,Financial Services,17933.45,Mini Large,False,TTM Profit negative or zero
CUBEXTUB,Capital Goods,127.51,Small Cap,False,TTM Profit negative or zero
CUMMINSIND,Capital Goods,127936.11,Large Cap,True,
CUPID,Fast Moving Consumer Goods,10715.18,Mini Large,True,
CYBERTECH,Information Technology,342.81,Small Cap,True,
CYIENT,Information Technology,9113.07,Mini Large,True,
CYIENTDLM,Capital Goods,2420.33,Mid Cap,False,ROE 6.9% < 8% (Mid Cap)
DABUR,Fast Moving Consumer Goods,76392.84,Large Cap,True,
DALBHARAT,Construction Materials,34560.87,Large Cap,False,ROE 4.0% < 6% (Large Cap)
DALMIASUG,Fast Moving Consumer Goods,2594.91,Mid Cap,True,
DAMCAPITAL,Financial Services,917.86,Small Cap,True,
DATAMATICS,Information Technology,4056.77,Mid Cap,True,
DATAPATTNS,Capital Goods,18087.3,Mini Large,False,TTM Profit negative or zero
DBCORP,"Media, Entertainment & Publication",3700.56,Mid Cap,True,
DBEIL,Construction,340.41,Small Cap,False,TTM Profit negative or zero
DBL,Construction,6682.98,Mini Large,False,Promoter selling: -7.01% in 4Q
DBOL,Fast Moving Consumer Goods,650.8,Small Cap,False,ROE 1.6% < 10% (Small Cap)
DBREALTY,Consumer Services,5319.38,Mini Large,False,TTM Profit negative or zero
DCAL,Healthcare,2481.06,Mid Cap,False,ROE 0.1% < 8% (Mid Cap)
DCBBANK,Financial Services,5471.44,Mini Large,False,TTM Profit negative or zero
DCI,Information Technology,463.3,Small Cap,False,ROE nan% < 10% (Small Cap)
DCMNVL,Textiles,223.16,Small Cap,False,ROE 1.9% < 10% (Small Cap)
DCMSHRIRAM,Diversified,16140.77,Mini Large,True,
DCMSRIND,Fast Moving Consumer Goods,959.18,Small Cap,True,
DCW,Chemicals,1401.51,Mid Cap,False,TTM Profit negative or zero
DCXINDIA,Capital Goods,1824.0,Mid Cap,False,ROE 2.7% < 8% (Mid Cap)
DDEVPLSTIK,Chemicals,2374.79,Mid Cap,False,TTM Profit negative or zero
DECCANCE,Construction Materials,913.86,Small Cap,False,ROE 1.1% < 10% (Small Cap)
DEEDEV,Capital Goods,1852.45,Mid Cap,False,ROE 5.3% < 8% (Mid Cap)
